dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.306399,5.774872,0.183162,1.831625,9.158125,45.790625,6.201468
0.200000,1.102309,5.598264,0.998431,4.076342,11.223587,10.327310,5.926207
0.200000,2.178357,4.933387,2.263319,6.324441,11.240491,0.084518,5.560768
0.200000,3.129460,3.935473,3.641879,6.892800,2.841799,-41.993457,5.453980
0.200000,3.896695,3.389395,4.583607,4.708639,-10.920806,-68.813029,5.960932
0.200000,4.659466,3.354184,5.347190,3.817917,-4.453611,32.335977,0.165225
0.200000,5.359458,3.540752,6.071618,3.622141,-0.978881,17.373653,0.324468
0.200000,5.817572,3.704066,6.557972,2.431766,-5.951875,-24.864973,0.352930
0.200000,5.972562,3.761245,6.723172,0.826004,-8.028807,-10.384659,0.353216
0.200000,5.972562,3.761245,6.723172,0.000000,-4.130021,19.493928,0.353216
0.200000,5.972562,3.761245,6.723172,0.000000,0.000000,20.650107,0.353216
