dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.226814,4.803125,0.183162,1.831625,9.158125,45.790625,6.201468
0.200000,0.761600,4.684731,0.732650,3.663250,9.158125,0.000000,5.926207
0.200000,1.533687,4.201932,1.648462,5.494875,9.158125,-0.000000,5.560768
0.200000,2.410500,3.276898,2.930600,7.326500,9.158125,0.000000,5.453980
0.200000,3.587909,2.464584,4.378217,7.149666,-0.884169,-50.211468,5.960932
0.200000,4.819829,2.392462,5.624987,5.318041,-9.158125,-41.369782,0.165225
0.200000,5.670293,2.616627,6.505433,3.486416,-9.158125,0.000000,0.324468
0.200000,6.154580,2.789161,7.019554,1.654791,-9.158125,0.000000,0.352930
0.200000,6.309831,2.846436,7.185033,0.000000,-8.273956,4.420843,0.353216
0.200000,6.309831,2.846436,7.185033,0.000000,0.000000,41.369782,0.353216
0.200000,6.309831,2.846436,7.185033,0.000000,0.000000,0.000000,0.353216
